problem_id,link,problem,solution,letter,answer
4ba30954e5f3ca72748b3e145f45b705,https://artofproblemsolving.com/wiki/index.php/2024_AMC_8_Problems/Problem_1,"What is the ones digit of \[222,222-22,222-2,222-222-22-2?\] $\textbf{(A) } 0\qquad\textbf{(B) } 2\qquad\textbf{(C) } 4\qquad\textbf{(D) } 6\qquad\textbf{(E) } 8$","We can rewrite the expression as \[222,222-(22,222+2,222+222+22+2).\]
We note that the units digit of the addition is $0$ because all the units digits of the five numbers are $2$ and $5*2=10$ , which has a units digit of $0$
Now, we have something with a units digit of $0$ subtracted from $222,222$ . The units digit of this expression is obviously $2$ , and we get $\boxed{2}$ as our answer.",B,2
4ba30954e5f3ca72748b3e145f45b705,https://artofproblemsolving.com/wiki/index.php/2024_AMC_8_Problems/Problem_1,"What is the ones digit of \[222,222-22,222-2,222-222-22-2?\] $\textbf{(A) } 0\qquad\textbf{(B) } 2\qquad\textbf{(C) } 4\qquad\textbf{(D) } 6\qquad\textbf{(E) } 8$","222,222-22,222 = 200,000
200,000 - 2,222 = 197778
197778 - 222 = 197556
197556 - 22 = 197534
197534 - 2 = 1957532
So our answer is $\boxed{2}$",B,2
4ba30954e5f3ca72748b3e145f45b705,https://artofproblemsolving.com/wiki/index.php/2024_AMC_8_Problems/Problem_1,"What is the ones digit of \[222,222-22,222-2,222-222-22-2?\] $\textbf{(A) } 0\qquad\textbf{(B) } 2\qquad\textbf{(C) } 4\qquad\textbf{(D) } 6\qquad\textbf{(E) } 8$","We only care about the unit's digits.
Thus, $2-2$ ends in $0$ $0-2$ ends in $8$ $8-2$ ends in $6$ $6-2$ ends in $4$ , and $4-2$ ends in $\boxed{2}$",B,2
4ba30954e5f3ca72748b3e145f45b705,https://artofproblemsolving.com/wiki/index.php/2024_AMC_8_Problems/Problem_1,"What is the ones digit of \[222,222-22,222-2,222-222-22-2?\] $\textbf{(A) } 0\qquad\textbf{(B) } 2\qquad\textbf{(C) } 4\qquad\textbf{(D) } 6\qquad\textbf{(E) } 8$","We just take the units digit of each and subtract, or you can do it this way by adding an extra ten to the first number (so we don't get a negative number): \[12-2-(2+2+2+2)=10-8=2\] Thus, we get the answer $\boxed{2}$",B,2
085955dda8dfb374689b3f216b54d785,https://artofproblemsolving.com/wiki/index.php/2024_AMC_8_Problems/Problem_2,What is the value of this expression in decimal form? \[\frac{44}{11} + \frac{110}{44} + \frac{44}{1100}\] $\textbf{(A) } 6.4\qquad\textbf{(B) } 6.504\qquad\textbf{(C) } 6.54\qquad\textbf{(D) } 6.9\qquad\textbf{(E) } 6.94$,"We see that $\frac{44}{11}$ is $4$ $\frac{110}{44}$ simplifies to $\frac{5}{2}$ , which is $2.5$
and $\frac{44}{1100}$ simplifies to $\frac{1}{25}$ , which is $0.04$
$4+2.5+0.04$ reveals \[\frac{44}{11} + \frac{110}{44} + \frac{44}{1100}\] is $\boxed{6.54}$ . 
~ le_petit_chouetteur from TSMV",C,6.54
0da863f2f80201b8fd30f4111ba0914c,https://artofproblemsolving.com/wiki/index.php/2024_AMC_8_Problems/Problem_3,"Four squares of side length $4, 7, 9,$ and $10$ are arranged in increasing size order so that their left edges and bottom edges align. The squares alternate in color white-gray-white-gray, respectively, as shown in the figure. What is the area of the visible gray region in square units? [asy]  size(150); filldraw((0,0)--(10,0)--(10,10)--(0,10)--cycle,gray(0.7),linewidth(1)); filldraw((0,0)--(9,0)--(9,9)--(0,9)--cycle,white,linewidth(1)); filldraw((0,0)--(7,0)--(7,7)--(0,7)--cycle,gray(0.7),linewidth(1)); filldraw((0,0)--(4,0)--(4,4)--(0,4)--cycle,white,linewidth(1)); draw((11,0)--(11,4),linewidth(1)); draw((11,6)--(11,10),linewidth(1)); label(""$10$"",(11,5),fontsize(14pt)); draw((10.75,0)--(11.25,0),linewidth(1)); draw((10.75,10)--(11.25,10),linewidth(1)); draw((0,11)--(3,11),linewidth(1)); draw((5,11)--(9,11),linewidth(1)); draw((0,11.25)--(0,10.75),linewidth(1)); draw((9,11.25)--(9,10.75),linewidth(1)); label(""$9$"",(4,11),fontsize(14pt)); draw((-1,0)--(-1,1),linewidth(1)); draw((-1,3)--(-1,7),linewidth(1)); draw((-1.25,0)--(-0.75,0),linewidth(1)); draw((-1.25,7)--(-0.75,7),linewidth(1)); label(""$7$"",(-1,2),fontsize(14pt)); draw((0,-1)--(1,-1),linewidth(1)); draw((3,-1)--(4,-1),linewidth(1)); draw((0,-1.25)--(0,-.75),linewidth(1)); draw((4,-1.25)--(4,-.75),linewidth(1)); label(""$4$"",(2,-1),fontsize(14pt)); [/asy] $\textbf{(A)}\ 42 \qquad \textbf{(B)}\ 45\qquad \textbf{(C)}\ 49\qquad \textbf{(D)}\ 50\qquad \textbf{(E)}\ 52$",We work inwards. The area of the outer shaded square is the area of the whole square minus the area of the second largest square. The area of the inner shaded region is the area of the third largest square minus the area of the smallest square. The sum of these areas is \[10^2 - 9^2 + 7^2 - 4^2 = 19 + 33 = \boxed{52}\],E,52
0da863f2f80201b8fd30f4111ba0914c,https://artofproblemsolving.com/wiki/index.php/2024_AMC_8_Problems/Problem_3,"Four squares of side length $4, 7, 9,$ and $10$ are arranged in increasing size order so that their left edges and bottom edges align. The squares alternate in color white-gray-white-gray, respectively, as shown in the figure. What is the area of the visible gray region in square units? [asy]  size(150); filldraw((0,0)--(10,0)--(10,10)--(0,10)--cycle,gray(0.7),linewidth(1)); filldraw((0,0)--(9,0)--(9,9)--(0,9)--cycle,white,linewidth(1)); filldraw((0,0)--(7,0)--(7,7)--(0,7)--cycle,gray(0.7),linewidth(1)); filldraw((0,0)--(4,0)--(4,4)--(0,4)--cycle,white,linewidth(1)); draw((11,0)--(11,4),linewidth(1)); draw((11,6)--(11,10),linewidth(1)); label(""$10$"",(11,5),fontsize(14pt)); draw((10.75,0)--(11.25,0),linewidth(1)); draw((10.75,10)--(11.25,10),linewidth(1)); draw((0,11)--(3,11),linewidth(1)); draw((5,11)--(9,11),linewidth(1)); draw((0,11.25)--(0,10.75),linewidth(1)); draw((9,11.25)--(9,10.75),linewidth(1)); label(""$9$"",(4,11),fontsize(14pt)); draw((-1,0)--(-1,1),linewidth(1)); draw((-1,3)--(-1,7),linewidth(1)); draw((-1.25,0)--(-0.75,0),linewidth(1)); draw((-1.25,7)--(-0.75,7),linewidth(1)); label(""$7$"",(-1,2),fontsize(14pt)); draw((0,-1)--(1,-1),linewidth(1)); draw((3,-1)--(4,-1),linewidth(1)); draw((0,-1.25)--(0,-.75),linewidth(1)); draw((4,-1.25)--(4,-.75),linewidth(1)); label(""$4$"",(2,-1),fontsize(14pt)); [/asy] $\textbf{(A)}\ 42 \qquad \textbf{(B)}\ 45\qquad \textbf{(C)}\ 49\qquad \textbf{(D)}\ 50\qquad \textbf{(E)}\ 52$",We can calculate it as the sum of the areas of $2$ smaller trapezoids and $2$ larger trapezoids. \[2\left(\cfrac{(7+4)(7-4)}{2}\right)+2\left(\cfrac{(10+9)(10-9)}{2}\right)=10^2 - 9^2 + 7^2 - 4^2 = 19 + 33 = \boxed{52}\],E,52
66b802ec7a9f111f4e0278d124d353e3,https://artofproblemsolving.com/wiki/index.php/2024_AMC_8_Problems/Problem_4,"When Yunji added all the integers from $1$ to $9$ , she mistakenly left out a number. Her incorrect sum turned out to be a square number. What number did Yunji leave out?
$\textbf{(A) } 5\qquad\textbf{(B) } 6\qquad\textbf{(C) } 7\qquad\textbf{(D) } 8\qquad\textbf{(E) } 9$","The sum of the digits from $1-9$ are $1 + 2 + 3 + 4 + 5 + 6 + 7 + 8 + 9 = 45$ . Note that one of the answer choices (that is equal to Yunju's digits) subtracted from her sum of $45$ must equal a square.
Note that $6^2 = 36$ is a very close square to the sum of 45. Checking, we see that $45 - 9 = 36 = 6^2$ works.
Therefore, the missing number is $\boxed{9}$",E,9
3c213972c62727e3a07cb66562bf5f51,https://artofproblemsolving.com/wiki/index.php/2024_AMC_8_Problems/Problem_5,"Aaliyah rolls two standard 6-sided dice. She notices that the product of the two numbers rolled is a multiple of $6$ . Which of the following integers cannot be the sum of the two numbers?
$\textbf{(A) } 5\qquad\textbf{(B) } 6\qquad\textbf{(C) } 7\qquad\textbf{(D) } 8\qquad\textbf{(E) } 9$","First, figure out all pairs of numbers whose product is 6. Then, using the process of elimination, we can find the following:
$\textbf{(A)}$ is possible: $2\times 3$
$\textbf{(C)}$ is possible: $1\times 6$
$\textbf{(D)}$ is possible: $2\times 6$
$\textbf{(E)}$ is possible: $3\times 6$
The only integer that cannot be the sum is $\boxed{6}.$",B,6
97ed9915cbef9ad8c9136dfb53ee58c0,https://artofproblemsolving.com/wiki/index.php/2024_AMC_8_Problems/Problem_7,"$3 \times 7$ rectangle is covered without overlap by 3 shapes of tiles: $2 \times 2$ $1\times4$ , and $1\times1$ , shown below. What is the minimum possible number of $1\times1$ tiles used?
$\textbf{(A) } 1\qquad\textbf{(B)} 2\qquad\textbf{(C) } 3\qquad\textbf{(D) } 4\qquad\textbf{(E) } 5$","We can eliminate B, C, and D, because they are not $21$ subtracted by any multiple of $4$ . Finally, we see that there is no way to have A, so the solution is $\boxed{5}$",E,5
